crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 1,GBCC,2,4,6,0,6
Crew 1,GBCC,2,5,6,0,6
Crew 1,GBCC,3,1,6,0,6
Crew 1,GBCC,3,2,6,0,6
Crew 1,GBCC,3,3,6,0,6
Crew 1,GBCC,3,4,5,1,6
Crew 1,GBCC,3,5,4,2,6
Crew 1,GBCC,4,1,6,0,6
Crew 1,GBCC,4,2,6,0,6
Crew 1,GBCC,4,3,6,0,6
Crew 1,GBCC,4,4,6,0,6
Crew 1,GBCC,4,5,4,2,6
Crew 1,GBCC,5,1,6,0,6
Crew 1,GBCC,5,2,6,0,6
Crew 1,GBCC,5,3,6,0,6
Crew 1,GBCC,5,4,6,0,6
Crew 1,GBCC,5,5,6,0,6
Crew 1,SWCC,1,1,14,0,14
Crew 1,SWCC,1,2,14,0,14
Crew 1,SWCC,1,3,14,0,14
Crew 1,SWCC,1,4,14,0,14
Crew 1,SWCC,1,5,14,0,14
Crew 1,SWCC,2,1,14,0,14
Crew 1,SWCC,2,2,14,0,14
Crew 1,SWCC,2,3,10,4,14
Crew 1,SWCC,2,4,9,5,14
Crew 1,SWCC,2,5,11,3,14
Crew 1,SWCC,3,1,14,0,14
Crew 1,SWCC,3,2,14,0,14
Crew 1,SWCC,3,3,13,1,14
Crew 1,SWCC,3,4,8,6,14
Crew 1,SWCC,3,5,5,9,14
Crew 1,SWCC,4,1,14,0,14
Crew 1,SWCC,4,2,14,0,14
Crew 1,SWCC,4,3,14,0,14
Crew 1,SWCC,4,4,14,0,14
Crew 1,SWCC,4,5,10,4,14
Crew 1,SWCC,5,1,14,0,14
Crew 1,SWCC,5,2,14,0,14
Crew 1,SWCC,5,3,14,0,14
Crew 1,SWCC,5,4,14,0,14
Crew 1,SWCC,5,5,12,2,14
Crew 1,RMCC,1,1,5,0,5
Crew 1,RMCC,1,2,5,0,5
Crew 1,RMCC,1,3,5,0,5
Crew 1,RMCC,1,4,5,0,5
Crew 1,RMCC,1,5,5,0,5
Crew 1,RMCC,2,1,5,0,5
Crew 1,RMCC,2,2,5,0,5
Crew 1,RMCC,2,3,1,4,5
Crew 1,RMCC,2,4,2,3,5
Crew 1,RMCC,2,5,5,0,5
Crew 1,RMCC,3,1,5,0,5
Crew 1,RMCC,3,2,5,0,5
Crew 1,RMCC,3,3,5,0,5
Crew 1,RMCC,3,4,2,3,5
Crew 1,RMCC,3,5,4,1,5
Crew 1,RMCC,4,1,5,0,5
Crew 1,RMCC,4,2,5,0,5
Crew 1,RMCC,4,3,5,0,5
Crew 1,RMCC,4,4,4,1,5
Crew 1,RMCC,4,5,5,0,5
Crew 1,RMCC,5,1,5,0,5
Crew 1,RMCC,5,2,5,0,5
Crew 1,RMCC,5,3,5,0,5
Crew 1,RMCC,5,4,5,0,5
Crew 1,RMCC,5,5,5,0,5
Crew 1,EACC,1,1,1,0,1
Crew 1,EACC,1,2,1,0,1
Crew 1,EACC,1,3,0,1,1
Crew 1,EACC,1,4,0,1,1
Crew 1,EACC,1,5,0,1,1
Crew 1,EACC,2,1,1,0,1
Crew 1,EACC,2,2,1,0,1
Crew 1,EACC,2,3,1,0,1
Crew 1,EACC,2,4,1,0,1
Crew 1,EACC,2,5,1,0,1
Crew 1,EACC,3,1,1,0,1
Crew 1,EACC,3,2,1,0,1
Crew 1,EACC,3,3,1,0,1
Crew 1,EACC,3,4,1,0,1
Crew 1,EACC,3,5,1,0,1
Crew 1,EACC,4,1,1,0,1
Crew 1,EACC,4,2,1,0,1
Crew 1,EACC,4,3,1,0,1
Crew 1,EACC,4,4,1,0,1
Crew 1,EACC,4,5,1,0,1
Crew 1,EACC,5,1,1,0,1
Crew 1,EACC,5,2,1,0,1
Crew 1,EACC,5,3,1,0,1
Crew 1,EACC,5,4,1,0,1
Crew 1,EACC,5,5,1,0,1
Crew 1,SACC,1,1,2,0,2
Crew 1,SACC,1,2,2,0,2
Crew 1,SACC,1,3,2,0,2
Crew 1,SACC,1,4,2,0,2
Crew 1,SACC,1,5,2,0,2
Crew 1,SACC,2,1,2,0,2
Crew 1,SACC,2,2,2,0,2
Crew 1,SACC,2,3,2,0,2
Crew 1,SACC,2,4,2,0,2
Crew 1,SACC,2,5,2,0,2
Crew 1,SACC,3,1,2,0,2
Crew 1,SACC,3,2,2,0,2
Crew 1,SACC,3,3,2,0,2
Crew 1,SACC,3,4,2,0,2
Crew 1,SACC,3,5,2,0,2
Crew 1,SACC,4,1,2,0,2
Crew 1,SACC,4,2,2,0,2
Crew 1,SACC,4,3,2,0,2
Crew 1,SACC,4,4,2,0,2
Crew 1,SACC,4,5,2,0,2
Crew 1,SACC,5,1,2,0,2
Crew 1,SACC,5,2,2,0,2
Crew 1,SACC,5,3,2,0,2
Crew 1,SACC,5,4,2,0,2
Crew 1,SACC,5,5,2,0,2
Crew 2IA,AICC,1,1,0,0,0
Crew 2IA,AICC,1,2,0,0,0
Crew 2IA,AICC,1,3,0,0,0
Crew 2IA,AICC,1,4,0,0,0
Crew 2IA,AICC,1,5,0,0,0
Crew 2IA,AICC,2,1,0,0,0
Crew 2IA,AICC,2,2,0,0,0
Crew 2IA,AICC,2,3,0,0,0
Crew 2IA,AICC,2,4,0,0,0
Crew 2IA,AICC,2,5,0,0,0
Crew 2IA,AICC,3,1,0,0,0
