Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
Water_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,27,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,1,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,6,0
SACC,0,0,0,0,0,0,0,0,0,0
Water_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,213,19,0,8,0,0,0,0
OSCC,0,0,28,487,0,0,29,17,0,0
NRCC,0,0,0,0,4,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,19,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,1,0
SACC,0,0,0,0,0,0,0,0,0,0
