crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 1,AICC,1,1,0,0,0
Crew 1,AICC,1,2,0,0,0
Crew 1,AICC,1,3,0,0,0
Crew 1,AICC,1,4,0,0,0
Crew 1,AICC,1,5,0,0,0
Crew 1,AICC,2,1,0,0,0
Crew 1,AICC,2,2,0,0,0
Crew 1,AICC,2,3,0,0,0
Crew 1,AICC,2,4,0,0,0
Crew 1,AICC,2,5,0,0,0
Crew 1,AICC,3,1,0,0,0
Crew 1,AICC,3,2,0,0,0
Crew 1,AICC,3,3,0,0,0
Crew 1,AICC,3,4,0,0,0
Crew 1,AICC,3,5,0,0,0
Crew 1,AICC,4,1,0,0,0
Crew 1,AICC,4,2,0,0,0
Crew 1,AICC,4,3,0,0,0
Crew 1,AICC,4,4,0,0,0
Crew 1,AICC,4,5,0,0,0
Crew 1,AICC,5,1,0,0,0
Crew 1,AICC,5,2,0,0,0
Crew 1,AICC,5,3,0,0,0
Crew 1,AICC,5,4,0,0,0
Crew 1,AICC,5,5,0,0,0
Crew 1,NWCC,1,1,9,0,9
Crew 1,NWCC,1,2,7,2,9
Crew 1,NWCC,1,3,9,0,9
Crew 1,NWCC,1,4,9,0,9
Crew 1,NWCC,1,5,9,0,9
Crew 1,NWCC,2,1,9,0,9
Crew 1,NWCC,2,2,6,3,9
Crew 1,NWCC,2,3,7,2,9
Crew 1,NWCC,2,4,9,0,9
Crew 1,NWCC,2,5,9,0,9
Crew 1,NWCC,3,1,9,0,9
Crew 1,NWCC,3,2,9,0,9
Crew 1,NWCC,3,3,6,3,9
Crew 1,NWCC,3,4,9,0,9
Crew 1,NWCC,3,5,9,0,9
Crew 1,NWCC,4,1,9,0,9
Crew 1,NWCC,4,2,9,0,9
Crew 1,NWCC,4,3,8,1,9
Crew 1,NWCC,4,4,8,1,9
Crew 1,NWCC,4,5,9,0,9
Crew 1,NWCC,5,1,9,0,9
Crew 1,NWCC,5,2,9,0,9
Crew 1,NWCC,5,3,9,0,9
Crew 1,NWCC,5,4,8,1,9
Crew 1,NWCC,5,5,9,0,9
Crew 1,ONCC,1,1,15,0,15
Crew 1,ONCC,1,2,8,7,15
Crew 1,ONCC,1,3,10,5,15
Crew 1,ONCC,1,4,15,0,15
Crew 1,ONCC,1,5,15,0,15
Crew 1,ONCC,2,1,14,1,15
Crew 1,ONCC,2,2,15,0,15
Crew 1,ONCC,2,3,5,10,15
Crew 1,ONCC,2,4,15,0,15
Crew 1,ONCC,2,5,15,0,15
Crew 1,ONCC,3,1,15,0,15
Crew 1,ONCC,3,2,15,0,15
Crew 1,ONCC,3,3,7,8,15
Crew 1,ONCC,3,4,15,0,15
