resource type,region,demand,shortage,supply
Crew 1,AICC,95,0,95
Crew 2IA,AICC,0,0,0
Crew 2,AICC,0,0,0
Engine 3,AICC,0,0,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,0,0,0
Engine 7,AICC,0,0,0
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,0,0,0
Module 2,AICC,9,0,9
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,930,84,846
Crew 2IA,NWCC,1194,135,1059
Crew 2,NWCC,57,51,6
Engine 3,NWCC,507,6,501
Engine 4,NWCC,254,3,251
Engine 5,NWCC,0,0,0
Engine 6,NWCC,1117,21,1096
Engine 7,NWCC,12,12,0
Dozer 1,NWCC,3,3,0
Dozer 2,NWCC,9,3,6
Dozer 3,NWCC,10,0,10
Dozer 4,NWCC,3,3,0
Module 1,NWCC,79,15,64
Module 2,NWCC,136,18,118
Water 1,NWCC,15,15,0
Water 2,NWCC,54,27,27
Crew 1,ONCC,398,222,176
Crew 2IA,ONCC,131,15,116
Crew 2,ONCC,25,0,25
Engine 3,ONCC,1314,6,1308
Engine 4,ONCC,35,0,35
Engine 5,ONCC,0,0,0
Engine 6,ONCC,28,0,28
Engine 7,ONCC,14,0,14
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,103,6,97
Dozer 3,ONCC,0,0,0
Dozer 4,ONCC,0,0,0
Module 1,ONCC,30,15,15
Module 2,ONCC,31,3,28
Water 1,ONCC,0,0,0
Water 2,ONCC,209,0,209
Crew 1,OSCC,365,0,365
Crew 2IA,OSCC,230,0,230
Crew 2,OSCC,334,0,334
Engine 3,OSCC,2169,6,2163
Engine 4,OSCC,27,0,27
Engine 5,OSCC,0,0,0
Engine 6,OSCC,30,0,30
Engine 7,OSCC,128,0,128
Dozer 1,OSCC,0,0,0
Dozer 2,OSCC,93,0,93
Dozer 3,OSCC,0,0,0
Dozer 4,OSCC,0,0,0
Module 1,OSCC,6,6,0
Module 2,OSCC,162,3,159
Water 1,OSCC,0,0,0
Water 2,OSCC,253,3,250
Crew 1,NRCC,523,72,451
Crew 2IA,NRCC,432,66,366
Crew 2,NRCC,18,18,0
Engine 3,NRCC,52,6,46
Engine 4,NRCC,96,0,96
Engine 5,NRCC,0,0,0
Engine 6,NRCC,755,9,746
Engine 7,NRCC,0,0,0
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,0,0,0
Dozer 3,NRCC,3,3,0
Dozer 4,NRCC,0,0,0
Module 1,NRCC,47,15,32
Module 2,NRCC,80,18,62
Water 1,NRCC,0,0,0
Water 2,NRCC,0,0,0
Crew 1,GBCC,157,33,124
Crew 2IA,GBCC,285,30,255
Crew 2,GBCC,0,0,0
Engine 3,GBCC,178,0,178
Engine 4,GBCC,243,0,243
Engine 5,GBCC,0,0,0
Engine 6,GBCC,349,0,349
Engine 7,GBCC,6,0,6
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,3,0,3
Dozer 3,GBCC,0,0,0
Dozer 4,GBCC,0,0,0
Module 1,GBCC,45,6,39
Module 2,GBCC,86,3,83
Water 1,GBCC,0,0,0
Water 2,GBCC,0,0,0
Crew 1,SWCC,864,30,834
Crew 2IA,SWCC,208,6,202
Crew 2,SWCC,6,6,0
Engine 3,SWCC,829,0,829
Engine 4,SWCC,68,0,68
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1456,3,1453
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0,0,0
Dozer 2,SWCC,174,3,171
Dozer 3,SWCC,41,0,41
Dozer 4,SWCC,0,0,0
Module 1,SWCC,39,6,33
Module 2,SWCC,77,6,71
Water 1,SWCC,9,0,9
Water 2,SWCC,38,0,38
Crew 1,RMCC,149,15,134
Crew 2IA,RMCC,133,0,133
Crew 2,RMCC,0,0,0
Engine 3,RMCC,3,0,3
Engine 4,RMCC,6,0,6
Engine 5,RMCC,0,0,0
Engine 6,RMCC,315,12,303
Engine 7,RMCC,0,0,0
Dozer 1,RMCC,0,0,0
Dozer 2,RMCC,31,0,31
Dozer 3,RMCC,1,0,1
Dozer 4,RMCC,0,0,0
Module 1,RMCC,67,30,37
Module 2,RMCC,68,6,62
Water 1,RMCC,0,0,0
Water 2,RMCC,0,0,0
Crew 1,EACC,8,0,8
Crew 2IA,EACC,0,0,0
Crew 2,EACC,18,0,18
Engine 3,EACC,34,0,34
Engine 4,EACC,0,0,0
Engine 5,EACC,0,0,0
Engine 6,EACC,208,3,205
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,71,0,71
Dozer 4,EACC,1,0,1
Module 1,EACC,13,0,13
Module 2,EACC,3,3,0
Water 1,EACC,0,0,0
Water 2,EACC,0,0,0
Crew 1,SACC,67,6,61
Crew 2IA,SACC,75,0,75
Crew 2,SACC,35,3,32
Engine 3,SACC,59,3,56
Engine 4,SACC,0,0,0
Engine 5,SACC,0,0,0
Engine 6,SACC,957,12,945
Engine 7,SACC,42,0,42
Dozer 1,SACC,0,0,0
Dozer 2,SACC,60,3,57
Dozer 3,SACC,238,21,217
Dozer 4,SACC,77,0,77
Module 1,SACC,0,0,0
Module 2,SACC,28,0,28
Water 1,SACC,0,0,0
Water 2,SACC,32,0,32
