Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,132,336,0,0,26,36,172,10,0,0
ONCC,119,7,472,35,0,16,83,0,0,0
OSCC,80,85,199,451,10,29,134,0,0,0
NRCC,34,0,0,0,127,52,109,0,0,0
GBCC,0,13,0,0,2,272,97,0,0,0
SWCC,0,103,9,28,29,120,551,0,0,3
RMCC,0,15,19,0,5,80,83,56,0,0
EACC,0,0,0,0,0,16,28,0,0,0
SACC,0,0,0,0,0,21,0,0,0,28
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,71,420,0,17,0,32,37,21,0,0
ONCC,0,0,125,31,0,0,19,0,0,0
OSCC,0,11,75,195,0,4,273,0,0,0
NRCC,72,0,0,0,190,23,131,20,0,0
GBCC,0,15,0,0,14,351,75,0,0,0
SWCC,0,44,26,0,0,16,207,11,0,0
RMCC,0,0,0,0,5,21,7,2,0,0
EACC,0,26,15,0,0,0,0,0,0,0
SACC,0,0,0,7,0,0,0,0,8,12
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,31,11,0,0,0,18,0,0,0
ONCC,0,0,23,0,0,0,0,0,0,0
OSCC,0,0,38,435,0,0,135,0,0,0
NRCC,0,0,0,0,7,0,0,0,0,0
GBCC,0,0,0,0,0,8,0,0,0,0
SWCC,0,0,0,0,0,0,1,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,12,0,0,0
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,51,35,2,0,19,21,0,0,0
ONCC,0,0,1137,86,0,0,306,0,0,0
OSCC,0,0,702,1775,0,0,372,47,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,7,10,0,0,201,31,0,0,0
SWCC,0,0,0,0,51,2,171,9,0,17
RMCC,0,0,0,0,7,1,0,13,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,58,0,12,0,15,23,11,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,6,0,0,0,0,0,0
NRCC,0,0,0,0,24,0,0,0,0,0
GBCC,0,7,6,4,0,224,20,0,0,3
SWCC,0,0,0,0,3,0,34,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_5,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_6,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,1,0,0,0,0,0,0,0,0,0
NWCC,0,266,0,9,0,26,107,13,0,16
ONCC,0,0,15,14,0,0,0,0,0,0
OSCC,0,0,0,37,0,0,0,0,0,0
NRCC,0,0,16,32,240,41,149,0,0,19
GBCC,0,11,11,5,15,472,102,3,0,0
SWCC,0,94,110,15,46,33,591,0,0,104
RMCC,0,0,9,9,29,5,76,152,0,17
EACC,0,3,0,1,23,2,0,13,7,0
SACC,0,3,15,22,21,0,25,2,0,252
Engine_7,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,1,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,2,0,0,0,0,0,0,0
