resource type,region,demand,shortage,supply
Crew 1,AICC,365,0,365
Crew 2IA,AICC,143,0,143
Crew 2,AICC,0,0,0
Engine 3,AICC,0,0,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,1,0,1
Engine 7,AICC,1,0,1
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,54,0,54
Module 2,AICC,71,0,71
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,592,33,559
Crew 2IA,NWCC,546,30,516
Crew 2,NWCC,34,3,31
Engine 3,NWCC,73,15,58
Engine 4,NWCC,65,0,65
Engine 5,NWCC,0,0,0
Engine 6,NWCC,383,6,377
Engine 7,NWCC,0,0,0
Dozer 1,NWCC,0,0,0
Dozer 2,NWCC,3,3,0
Dozer 3,NWCC,0,0,0
Dozer 4,NWCC,0,0,0
Module 1,NWCC,115,39,76
Module 2,NWCC,123,21,102
Water 1,NWCC,0,0,0
Water 2,NWCC,0,0,0
Crew 1,ONCC,738,39,699
Crew 2IA,ONCC,262,21,241
Crew 2,ONCC,78,6,72
Engine 3,ONCC,2010,126,1884
Engine 4,ONCC,6,0,6
Engine 5,ONCC,0,0,0
Engine 6,ONCC,179,3,176
Engine 7,ONCC,5,3,2
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,203,9,194
Dozer 3,ONCC,0,0,0
Dozer 4,ONCC,0,0,0
Module 1,ONCC,0,0,0
Module 2,ONCC,30,6,24
Water 1,ONCC,4,0,4
Water 2,ONCC,132,3,129
Crew 1,OSCC,520,6,514
Crew 2IA,OSCC,250,0,250
Crew 2,OSCC,438,3,435
Engine 3,OSCC,1884,21,1863
Engine 4,OSCC,22,0,22
Engine 5,OSCC,0,0,0
Engine 6,OSCC,144,0,144
Engine 7,OSCC,17,0,17
Dozer 1,OSCC,0,0,0
Dozer 2,OSCC,74,3,71
Dozer 3,OSCC,0,0,0
Dozer 4,OSCC,0,0,0
Module 1,OSCC,0,0,0
Module 2,OSCC,79,0,79
Water 1,OSCC,0,0,0
Water 2,OSCC,345,27,318
Crew 1,NRCC,229,30,199
Crew 2IA,NRCC,224,15,209
Crew 2,NRCC,10,3,7
Engine 3,NRCC,58,0,58
Engine 4,NRCC,27,0,27
Engine 5,NRCC,0,0,0
Engine 6,NRCC,377,3,374
Engine 7,NRCC,0,0,0
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,0,0,0
Dozer 3,NRCC,0,0,0
Dozer 4,NRCC,0,0,0
Module 1,NRCC,87,15,72
Module 2,NRCC,45,6,39
Water 1,NRCC,0,0,0
Water 2,NRCC,0,0,0
Crew 1,GBCC,675,33,642
Crew 2IA,GBCC,528,81,447
Crew 2,GBCC,11,3,8
Engine 3,GBCC,241,18,223
Engine 4,GBCC,248,9,239
Engine 5,GBCC,0,0,0
Engine 6,GBCC,585,6,579
Engine 7,GBCC,9,0,9
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,3,0,3
Dozer 3,GBCC,0,0,0
Dozer 4,GBCC,0,0,0
Module 1,GBCC,64,15,49
Module 2,GBCC,144,12,132
Water 1,GBCC,0,0,0
Water 2,GBCC,13,0,13
Crew 1,SWCC,1338,81,1257
Crew 2IA,SWCC,830,81,749
Crew 2,SWCC,175,9,166
Engine 3,SWCC,904,3,901
Engine 4,SWCC,77,0,77
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1059,9,1050
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,3,3,0
Dozer 2,SWCC,69,9,60
Dozer 3,SWCC,22,6,16
Dozer 4,SWCC,0,0,0
Module 1,SWCC,65,15,50
Module 2,SWCC,164,24,140
Water 1,SWCC,0,0,0
Water 2,SWCC,237,114,123
Crew 1,RMCC,66,0,66
Crew 2IA,RMCC,54,0,54
Crew 2,RMCC,0,0,0
Engine 3,RMCC,69,0,69
Engine 4,RMCC,11,0,11
Engine 5,RMCC,0,0,0
Engine 6,RMCC,186,3,183
Engine 7,RMCC,3,0,3
Dozer 1,RMCC,0,0,0
Dozer 2,RMCC,5,0,5
Dozer 3,RMCC,7,0,7
Dozer 4,RMCC,0,0,0
Module 1,RMCC,14,0,14
Module 2,RMCC,0,0,0
Water 1,RMCC,0,0,0
Water 2,RMCC,0,0,0
Crew 1,EACC,0,0,0
Crew 2IA,EACC,8,0,8
Crew 2,EACC,0,0,0
Engine 3,EACC,0,0,0
Engine 4,EACC,0,0,0
Engine 5,EACC,0,0,0
Engine 6,EACC,13,6,7
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,0,0,0
Dozer 4,EACC,0,0,0
Module 1,EACC,0,0,0
Module 2,EACC,0,0,0
Water 1,EACC,0,0,0
Water 2,EACC,0,0,0
Crew 1,SACC,31,0,31
Crew 2IA,SACC,12,0,12
Crew 2,SACC,0,0,0
Engine 3,SACC,17,0,17
Engine 4,SACC,3,0,3
Engine 5,SACC,0,0,0
Engine 6,SACC,408,0,408
Engine 7,SACC,0,0,0
Dozer 1,SACC,0,0,0
Dozer 2,SACC,13,0,13
Dozer 3,SACC,48,0,48
Dozer 4,SACC,0,0,0
Module 1,SACC,0,0,0
Module 2,SACC,19,0,19
Water 1,SACC,0,0,0
Water 2,SACC,0,0,0
