Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,24,0,0,0,0,0,0,0,0,
ONCC,0,0,0,0,0,0,0,0,0,0,
OSCC,0,0,0,0,0,0,0,0,0,0,
NRCC,0,0,0,0,0,0,0,0,0,0,
GBCC,0,0,0,0,0,0,0,0,0,0,
SWCC,0,0,0,0,0,0,21,0,0,0,
RMCC,0,2,6,1,2,6,0,29,0,0,
EACC,0,1,4,4,1,0,0,0,111,0,
SACC,0,0,8,1,0,1,1,0,0,84,
Dozer_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,0,0,0,0,0,0,0,0,0,
ONCC,0,0,0,0,0,0,0,0,0,0,
OSCC,0,0,0,0,0,0,0,0,0,0,
NRCC,0,0,0,0,0,0,0,0,0,0,
GBCC,0,0,0,0,0,0,0,0,0,0,
SWCC,0,0,0,0,0,0,0,0,0,0,
RMCC,0,0,0,0,0,0,0,0,0,0,
EACC,0,0,0,0,0,0,0,0,1,0,
SACC,0,2,3,4,2,2,0,3,0,36,
Module_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,45,0,0,0,0,0,0,0,0,
ONCC,0,0,26,0,0,0,0,0,0,0,
OSCC,0,0,0,0,0,0,0,0,0,0,
NRCC,0,0,0,0,39,0,0,0,0,0,
GBCC,7,16,5,5,2,120,11,0,0,0,
SWCC,0,0,0,0,0,0,0,0,0,0,
RMCC,4,5,1,1,10,3,28,78,3,0,
EACC,0,0,0,0,0,0,0,0,10,0,
SACC,0,0,0,0,0,0,0,0,0,0,
Module_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,10,121,4,1,0,0,0,0,0,0,
ONCC,2,2,78,0,0,0,0,0,0,0,
OSCC,0,0,12,164,0,2,0,0,0,0,
NRCC,1,0,0,0,84,0,0,0,0,0,
GBCC,0,2,3,2,0,188,2,0,0,0,
SWCC,0,0,0,1,0,0,74,0,0,0,
RMCC,0,0,0,0,4,0,6,86,0,10,
EACC,0,0,0,0,0,0,0,0,5,0,
SACC,0,0,0,0,0,0,0,0,0,0,
Water_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,7,0,0,0,0,0,0,0,0,
ONCC,0,0,44,0,0,0,0,0,0,0,
OSCC,0,0,0,0,0,0,0,0,0,0,
NRCC,0,0,0,0,0,0,0,0,0,0,
GBCC,0,0,0,0,0,0,0,0,0,0,
SWCC,0,0,0,0,0,0,32,0,0,0,
RMCC,0,0,0,0,0,0,0,0,0,0,
EACC,0,0,0,0,0,0,0,0,2,0,
SACC,0,0,0,0,0,0,0,0,0,0,
Water_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC,
AICC,0,0,0,0,0,0,0,0,0,0,
NWCC,0,8,0,0,0,0,0,0,0,0,
ONCC,0,5,308,0,0,0,1,0,0,0,
OSCC,0,0,0,570,0,19,18,3,0,0,
NRCC,0,0,0,0,7,0,0,5,0,0,
GBCC,0,0,0,0,0,0,0,0,0,0,
SWCC,0,0,0,0,0,0,24,1,0,5,
RMCC,0,0,0,0,0,0,0,0,0,0,
EACC,0,0,0,0,0,0,0,0,0,0,
SACC,0,0,0,0,0,0,0,0,0,0,
