resource type,region,demand,shortage,supply
Crew 1,AICC,137,0,137
Crew 2IA,AICC,81,0,81
Crew 2,AICC,0,0,0
Engine 3,AICC,0,0,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,2,0,2
Engine 7,AICC,0,0,0
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,52,0,52
Module 2,AICC,0,0,0
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,989,93,896
Crew 2IA,NWCC,935,117,818
Crew 2,NWCC,43,9,34
Engine 3,NWCC,733,9,724
Engine 4,NWCC,388,0,388
Engine 5,NWCC,6,6,0
Engine 6,NWCC,1843,9,1834
Engine 7,NWCC,81,0,81
Dozer 1,NWCC,0,0,0
Dozer 2,NWCC,25,0,25
Dozer 3,NWCC,51,0,51
Dozer 4,NWCC,0,0,0
Module 1,NWCC,83,21,62
Module 2,NWCC,100,15,85
Water 1,NWCC,0,0,0
Water 2,NWCC,0,0,0
Crew 1,ONCC,909,330,579
Crew 2IA,ONCC,333,54,279
Crew 2,ONCC,105,33,72
Engine 3,ONCC,2629,93,2536
Engine 4,ONCC,48,0,48
Engine 5,ONCC,0,0,0
Engine 6,ONCC,126,18,108
Engine 7,ONCC,1,0,1
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,175,12,163
Dozer 3,ONCC,3,3,0
Dozer 4,ONCC,0,0,0
Module 1,ONCC,48,15,33
Module 2,ONCC,17,0,17
Water 1,ONCC,16,15,1
Water 2,ONCC,422,54,368
Crew 1,OSCC,791,36,755
Crew 2IA,OSCC,447,9,438
Crew 2,OSCC,535,6,529
Engine 3,OSCC,5018,33,4985
Engine 4,OSCC,86,0,86
Engine 5,OSCC,0,0,0
Engine 6,OSCC,112,6,106
Engine 7,OSCC,173,0,173
Dozer 1,OSCC,12,12,0
Dozer 2,OSCC,590,3,587
Dozer 3,OSCC,7,0,7
Dozer 4,OSCC,0,0,0
Module 1,OSCC,0,0,0
Module 2,OSCC,52,6,46
Water 1,OSCC,3,3,0
Water 2,OSCC,782,30,752
Crew 1,NRCC,548,45,503
Crew 2IA,NRCC,384,18,366
Crew 2,NRCC,6,6,0
Engine 3,NRCC,14,0,14
Engine 4,NRCC,66,0,66
Engine 5,NRCC,0,0,0
Engine 6,NRCC,1389,15,1374
Engine 7,NRCC,0,0,0
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,0,0,0
Dozer 3,NRCC,0,0,0
Dozer 4,NRCC,0,0,0
Module 1,NRCC,51,6,45
Module 2,NRCC,126,3,123
Water 1,NRCC,0,0,0
Water 2,NRCC,4,0,4
Crew 1,GBCC,666,90,576
Crew 2IA,GBCC,520,87,433
Crew 2,GBCC,21,3,18
Engine 3,GBCC,612,21,591
Engine 4,GBCC,326,6,320
Engine 5,GBCC,0,0,0
Engine 6,GBCC,948,0,948
Engine 7,GBCC,39,0,39
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,60,0,60
Dozer 3,GBCC,0,0,0
Dozer 4,GBCC,14,0,14
Module 1,GBCC,161,27,134
Module 2,GBCC,234,18,216
Water 1,GBCC,0,0,0
Water 2,GBCC,45,6,39
Crew 1,SWCC,596,9,587
Crew 2IA,SWCC,340,18,322
Crew 2,SWCC,41,0,41
Engine 3,SWCC,648,6,642
Engine 4,SWCC,50,0,50
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1399,6,1393
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0,0,0
Dozer 2,SWCC,113,0,113
Dozer 3,SWCC,30,0,30
Dozer 4,SWCC,0,0,0
Module 1,SWCC,69,12,57
Module 2,SWCC,57,3,54
Water 1,SWCC,2,0,2
Water 2,SWCC,54,3,51
Crew 1,RMCC,226,12,214
Crew 2IA,RMCC,226,15,211
Crew 2,RMCC,9,9,0
Engine 3,RMCC,29,15,14
Engine 4,RMCC,31,0,31
Engine 5,RMCC,0,0,0
Engine 6,RMCC,293,3,290
Engine 7,RMCC,4,0,4
Dozer 1,RMCC,0,0,0
Dozer 2,RMCC,29,0,29
Dozer 3,RMCC,23,0,23
Dozer 4,RMCC,10,0,10
Module 1,RMCC,79,9,70
Module 2,RMCC,86,0,86
Water 1,RMCC,6,6,0
Water 2,RMCC,3,3,0
Crew 1,EACC,66,0,66
Crew 2IA,EACC,45,0,45
Crew 2,EACC,0,0,0
Engine 3,EACC,39,0,39
Engine 4,EACC,0,0,0
Engine 5,EACC,0,0,0
Engine 6,EACC,664,0,664
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,289,0,289
Dozer 4,EACC,0,0,0
Module 1,EACC,3,3,0
Module 2,EACC,15,0,15
Water 1,EACC,0,0,0
Water 2,EACC,0,0,0
Crew 1,SACC,71,6,65
Crew 2IA,SACC,85,3,82
Crew 2,SACC,0,0,0
Engine 3,SACC,0,0,0
Engine 4,SACC,1,0,1
Engine 5,SACC,0,0,0
Engine 6,SACC,1321,0,1321
Engine 7,SACC,33,0,33
Dozer 1,SACC,0,0,0
Dozer 2,SACC,18,0,18
Dozer 3,SACC,127,0,127
Dozer 4,SACC,82,0,82
Module 1,SACC,2,0,2
Module 2,SACC,0,0,0
Water 1,SACC,0,0,0
Water 2,SACC,0,0,0
