Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,366,16,0,107,32,15,17,0,0
ONCC,64,84,299,116,56,96,6,3,2,0
OSCC,0,176,173,592,9,114,68,63,0,11
NRCC,0,54,0,0,222,19,16,37,8,0
GBCC,0,77,26,4,48,259,25,0,11,0
SWCC,35,72,48,9,61,41,457,20,0,16
RMCC,30,55,17,0,0,0,0,74,45,18
EACC,0,0,0,0,0,0,0,0,0,0
SACC,8,12,0,34,0,15,0,0,0,20
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,32,15,0,0,0,0,0,0,0,0
NWCC,25,620,2,0,0,37,0,11,0,13
ONCC,0,65,198,45,0,24,32,0,0,0
OSCC,24,48,37,364,0,16,14,30,0,0
NRCC,0,2,0,0,307,42,17,0,7,0
GBCC,0,26,6,13,17,225,0,4,0,0
SWCC,0,24,0,0,24,16,235,11,0,12
RMCC,0,18,17,0,0,27,6,106,0,0
EACC,0,0,19,8,18,31,0,49,20,0
SACC,0,0,0,8,0,15,18,0,18,57
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,33,0,0,0,4,0,0,0,0
ONCC,0,1,47,14,0,0,0,0,0,0
OSCC,0,0,25,515,0,14,41,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,666,25,25,0,0,18,0,0,0
ONCC,0,16,1995,388,0,64,0,0,0,0
OSCC,0,0,338,4506,0,6,26,0,18,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,82,51,0,512,10,1,0,0
SWCC,0,42,96,15,14,9,588,0,0,0
RMCC,0,0,0,0,0,0,0,13,0,0
EACC,0,0,0,0,0,0,0,0,21,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,372,1,2,0,8,0,10,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,58,0,0,0,0,0,0
NRCC,0,0,0,0,66,0,17,0,0,0
GBCC,0,16,46,12,0,312,2,0,0,0
SWCC,0,0,0,14,0,0,31,0,0,0
RMCC,0,0,1,0,0,0,0,21,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,1
Engine_5,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_6,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,2,16,0,0,0,0,0,0,0,0
NWCC,0,1672,0,21,13,17,26,11,0,31
ONCC,0,0,1,14,33,1,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,1146,0,82,5,33,113
GBCC,0,28,1,5,37,797,7,34,6,43
SWCC,0,50,29,41,44,45,1209,0,8,44
RMCC,0,27,39,12,20,18,17,205,0,57
EACC,0,13,18,13,40,31,0,11,555,2
SACC,0,28,20,0,41,39,52,24,62,1031
Engine_7,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,81,0,0,0,0,0,0,0,0
ONCC,0,0,1,0,0,0,0,0,0,0
OSCC,0,0,0,173,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
