crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 1,NRCC,5,2,6,0,0,6
Crew 1,NRCC,5,3,6,0,0,6
Crew 1,NRCC,5,4,6,0,0,6
Crew 1,NRCC,5,5,6,0,0,6
Crew 1,GBCC,1,1,3,3,50,6
Crew 1,GBCC,1,2,3,3,50,6
Crew 1,GBCC,1,3,3,3,50,6
Crew 1,GBCC,1,4,6,0,0,6
Crew 1,GBCC,1,5,3,3,50,6
Crew 1,GBCC,2,1,3,3,50,6
Crew 1,GBCC,2,2,3,3,50,6
Crew 1,GBCC,2,3,3,3,50,6
Crew 1,GBCC,2,4,3,3,50,6
Crew 1,GBCC,2,5,6,0,0,6
Crew 1,GBCC,3,1,6,0,0,6
Crew 1,GBCC,3,2,6,0,0,6
Crew 1,GBCC,3,3,6,0,0,6
Crew 1,GBCC,3,4,6,0,0,6
Crew 1,GBCC,3,5,6,0,0,6
Crew 1,GBCC,4,1,6,0,0,6
Crew 1,GBCC,4,2,6,0,0,6
Crew 1,GBCC,4,3,6,0,0,6
Crew 1,GBCC,4,4,6,0,0,6
Crew 1,GBCC,4,5,5,1,16,6
Crew 1,GBCC,5,1,6,0,0,6
Crew 1,GBCC,5,2,6,0,0,6
Crew 1,GBCC,5,3,6,0,0,6
Crew 1,GBCC,5,4,6,0,0,6
Crew 1,GBCC,5,5,6,0,0,6
Crew 1,SWCC,1,1,7,7,50,14
Crew 1,SWCC,1,2,7,7,50,14
Crew 1,SWCC,1,3,7,7,50,14
Crew 1,SWCC,1,4,7,7,50,14
Crew 1,SWCC,1,5,7,7,50,14
Crew 1,SWCC,2,1,7,7,50,14
Crew 1,SWCC,2,2,7,7,50,14
Crew 1,SWCC,2,3,7,7,50,14
Crew 1,SWCC,2,4,14,0,0,14
Crew 1,SWCC,2,5,14,0,0,14
Crew 1,SWCC,3,1,14,0,0,14
Crew 1,SWCC,3,2,14,0,0,14
Crew 1,SWCC,3,3,11,3,21,14
Crew 1,SWCC,3,4,14,0,0,14
Crew 1,SWCC,3,5,14,0,0,14
Crew 1,SWCC,4,1,14,0,0,14
Crew 1,SWCC,4,2,14,0,0,14
Crew 1,SWCC,4,3,14,0,0,14
Crew 1,SWCC,4,4,14,0,0,14
Crew 1,SWCC,4,5,14,0,0,14
Crew 1,SWCC,5,1,14,0,0,14
Crew 1,SWCC,5,2,14,0,0,14
Crew 1,SWCC,5,3,14,0,0,14
Crew 1,SWCC,5,4,14,0,0,14
Crew 1,SWCC,5,5,14,0,0,14
Crew 1,RMCC,1,1,3,2,40,5
Crew 1,RMCC,1,2,3,2,40,5
Crew 1,RMCC,1,3,3,2,40,5
Crew 1,RMCC,1,4,5,0,0,5
Crew 1,RMCC,1,5,5,0,0,5
Crew 1,RMCC,2,1,3,2,40,5
Crew 1,RMCC,2,2,3,2,40,5
Crew 1,RMCC,2,3,3,2,40,5
Crew 1,RMCC,2,4,3,2,40,5
Crew 1,RMCC,2,5,5,0,0,5
Crew 1,RMCC,3,1,5,0,0,5
Crew 1,RMCC,3,2,5,0,0,5
Crew 1,RMCC,3,3,4,1,20,5
Crew 1,RMCC,3,4,5,0,0,5
Crew 1,RMCC,3,5,5,0,0,5
Crew 1,RMCC,4,1,5,0,0,5
Crew 1,RMCC,4,2,5,0,0,5
Crew 1,RMCC,4,3,5,0,0,5
Crew 1,RMCC,4,4,4,1,20,5
Crew 1,RMCC,4,5,5,0,0,5
Crew 1,RMCC,5,1,5,0,0,5
Crew 1,RMCC,5,2,5,0,0,5
Crew 1,RMCC,5,3,5,0,0,5
Crew 1,RMCC,5,4,5,0,0,5
Crew 1,RMCC,5,5,5,0,0,5
Crew 1,EACC,1,1,1,0,0,1
Crew 1,EACC,1,2,1,0,0,1
Crew 1,EACC,1,3,1,0,0,1
Crew 1,EACC,1,4,1,0,0,1
Crew 1,EACC,1,5,1,0,0,1
Crew 1,EACC,2,1,1,0,0,1
Crew 1,EACC,2,2,1,0,0,1
Crew 1,EACC,2,3,1,0,0,1
Crew 1,EACC,2,4,1,0,0,1
Crew 1,EACC,2,5,1,0,0,1
