resource type,region,demand,shortage,supply
Crew 1,AICC,74,0,74
Crew 2IA,AICC,15,0,15
Crew 2,AICC,0,0,0
Engine 3,AICC,3,3,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,2,0,2
Engine 7,AICC,0,0,0
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,0,0,0
Module 2,AICC,0,0,0
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,1099,231,868
Crew 2IA,NWCC,1126,261,865
Crew 2,NWCC,265,183,82
Engine 3,NWCC,745,18,727
Engine 4,NWCC,370,12,358
Engine 5,NWCC,0,0,0
Engine 6,NWCC,2016,9,2007
Engine 7,NWCC,11,3,8
Dozer 1,NWCC,6,6,0
Dozer 2,NWCC,47,12,35
Dozer 3,NWCC,51,3,48
Dozer 4,NWCC,0,0,0
Module 1,NWCC,192,30,162
Module 2,NWCC,91,12,79
Water 1,NWCC,0,0,0
Water 2,NWCC,41,24,17
Crew 1,ONCC,710,99,611
Crew 2IA,ONCC,531,39,492
Crew 2,ONCC,214,99,115
Engine 3,ONCC,2504,21,2483
Engine 4,ONCC,2,0,2
Engine 5,ONCC,0,0,0
Engine 6,ONCC,121,12,109
Engine 7,ONCC,1,0,1
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,369,6,363
Dozer 3,ONCC,1,0,1
Dozer 4,ONCC,0,0,0
Module 1,ONCC,34,6,28
Module 2,ONCC,57,9,48
Water 1,ONCC,1,0,1
Water 2,ONCC,420,51,369
Crew 1,OSCC,1260,177,1083
Crew 2IA,OSCC,791,129,662
Crew 2,OSCC,966,57,909
Engine 3,OSCC,5021,144,4877
Engine 4,OSCC,63,0,63
Engine 5,OSCC,0,0,0
Engine 6,OSCC,173,99,74
Engine 7,OSCC,324,6,318
Dozer 1,OSCC,9,9,0
Dozer 2,OSCC,427,36,391
Dozer 3,OSCC,0,0,0
Dozer 4,OSCC,0,0,0
Module 1,OSCC,30,30,0
Module 2,OSCC,150,12,138
Water 1,OSCC,3,3,0
Water 2,OSCC,923,153,770
Crew 1,NRCC,288,39,249
Crew 2IA,NRCC,296,45,251
Crew 2,NRCC,23,9,14
Engine 3,NRCC,53,6,47
Engine 4,NRCC,102,0,102
Engine 5,NRCC,0,0,0
Engine 6,NRCC,1374,30,1344
Engine 7,NRCC,0,0,0
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,0,0,0
Dozer 3,NRCC,16,0,16
Dozer 4,NRCC,9,0,9
Module 1,NRCC,38,12,26
Module 2,NRCC,59,18,41
Water 1,NRCC,0,0,0
Water 2,NRCC,21,21,0
Crew 1,GBCC,1264,339,925
Crew 2IA,GBCC,791,213,578
Crew 2,GBCC,78,27,51
Engine 3,GBCC,793,102,691
Engine 4,GBCC,578,24,554
Engine 5,GBCC,0,0,0
Engine 6,GBCC,1532,36,1496
Engine 7,GBCC,62,0,62
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,13,9,4
Dozer 3,GBCC,35,3,32
Dozer 4,GBCC,0,0,0
Module 1,GBCC,204,66,138
Module 2,GBCC,383,24,359
Water 1,GBCC,0,0,0
Water 2,GBCC,49,30,19
Crew 1,SWCC,669,9,660
Crew 2IA,SWCC,98,9,89
Crew 2,SWCC,0,0,0
Engine 3,SWCC,610,9,601
Engine 4,SWCC,30,0,30
Engine 5,SWCC,0,0,0
Engine 6,SWCC,1270,12,1258
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0,0,0
Dozer 2,SWCC,114,0,114
Dozer 3,SWCC,23,0,23
Dozer 4,SWCC,0,0,0
Module 1,SWCC,17,3,14
Module 2,SWCC,44,3,41
Water 1,SWCC,0,0,0
Water 2,SWCC,10,3,7
Crew 1,RMCC,253,18,235
Crew 2IA,RMCC,212,3,209
Crew 2,RMCC,9,0,9
Engine 3,RMCC,112,78,34
Engine 4,RMCC,53,15,38
Engine 5,RMCC,3,3,0
Engine 6,RMCC,381,36,345
Engine 7,RMCC,2,0,2
Dozer 1,RMCC,0,0,0
Dozer 2,RMCC,20,3,17
Dozer 3,RMCC,91,0,91
Dozer 4,RMCC,5,0,5
Module 1,RMCC,111,3,108
Module 2,RMCC,79,9,70
Water 1,RMCC,0,0,0
Water 2,RMCC,21,21,0
Crew 1,EACC,4,0,4
Crew 2IA,EACC,39,0,39
Crew 2,EACC,30,0,30
Engine 3,EACC,19,0,19
Engine 4,EACC,0,0,0
Engine 5,EACC,0,0,0
Engine 6,EACC,579,0,579
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,257,0,257
Dozer 4,EACC,7,0,7
Module 1,EACC,3,3,0
Module 2,EACC,3,3,0
Water 1,EACC,0,0,0
Water 2,EACC,0,0,0
Crew 1,SACC,31,0,31
Crew 2IA,SACC,11,0,11
Crew 2,SACC,0,0,0
Engine 3,SACC,3,0,3
Engine 4,SACC,0,0,0
Engine 5,SACC,0,0,0
Engine 6,SACC,492,6,486
Engine 7,SACC,52,0,52
Dozer 1,SACC,0,0,0
Dozer 2,SACC,9,3,6
Dozer 3,SACC,69,0,69
Dozer 4,SACC,57,0,57
Module 1,SACC,0,0,0
Module 2,SACC,0,0,0
Water 1,SACC,0,0,0
Water 2,SACC,0,0,0
