Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,13,493,0,17,46,25,32,8,0,0
ONCC,0,0,656,38,18,28,45,9,0,0
OSCC,0,32,264,499,18,15,69,5,0,0
NRCC,0,20,91,14,115,0,33,10,0,0
GBCC,0,17,118,10,38,202,13,0,0,0
SWCC,0,99,142,0,0,78,625,0,4,0
RMCC,0,0,56,16,62,12,31,121,16,0
EACC,0,0,0,0,0,0,0,0,7,0
SACC,0,0,35,0,0,0,0,31,0,0
Crew_2IA,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,16,0,0,0,0,0
NWCC,0,514,17,23,24,0,14,0,0,0
ONCC,0,0,300,30,0,3,0,9,0,0
OSCC,0,22,251,712,0,0,18,3,0,0
NRCC,0,0,16,0,293,0,10,1,0,0
GBCC,0,0,57,22,73,279,0,7,17,0
SWCC,0,15,18,0,35,17,36,0,0,0
RMCC,0,0,9,0,16,0,0,76,35,0
EACC,0,19,19,0,0,0,0,0,18,0
SACC,0,20,16,0,14,0,0,0,0,0
Crew_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,17,0,0,0,0,0,0,0,0
ONCC,0,0,110,0,0,0,0,0,0,0
OSCC,0,0,60,394,0,9,0,0,0,0
NRCC,0,0,0,0,13,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,1,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,34,0,0,0,0,10,0,0
Engine_3,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,333,18,0,0,0,0,0,0,0
ONCC,0,28,2780,90,0,12,25,0,0,21
OSCC,0,61,1399,2652,0,0,47,17,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,27,48,16,0,132,20,0,0,0
SWCC,0,95,136,16,82,8,351,0,0,0
RMCC,0,18,0,0,0,0,0,34,0,0
EACC,0,0,0,0,0,0,0,0,0,0
SACC,0,0,0,0,0,0,0,0,0,0
Engine_4,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,187,1,0,0,0,59,0,0,0
ONCC,0,0,0,0,0,0,0,0,0,0
OSCC,0,0,0,6,0,0,0,0,0,0
NRCC,0,0,0,0,123,0,19,0,0,0
GBCC,0,27,253,9,54,375,9,0,0,0
SWCC,0,0,0,0,9,0,33,0,0,0
RMCC,0,0,24,0,0,0,0,27,0,0
EACC,0,0,0,0,0,0,0,0,6,0
