resource type,region,demand,shortage,supply
Crew 1,AICC,13,0,13
Crew 2IA,AICC,0,0,0
Crew 2,AICC,0,0,0
Engine 3,AICC,0,0,0
Engine 4,AICC,0,0,0
Engine 5,AICC,0,0,0
Engine 6,AICC,0,0,0
Engine 7,AICC,0,0,0
Dozer 1,AICC,0,0,0
Dozer 2,AICC,0,0,0
Dozer 3,AICC,0,0,0
Dozer 4,AICC,0,0,0
Module 1,AICC,0,0,0
Module 2,AICC,0,0,0
Water 1,AICC,0,0,0
Water 2,AICC,0,0,0
Crew 1,NWCC,859,198,661
Crew 2IA,NWCC,806,216,590
Crew 2,NWCC,284,267,17
Engine 3,NWCC,823,261,562
Engine 4,NWCC,235,21,214
Engine 5,NWCC,0,0,0
Engine 6,NWCC,1229,102,1127
Engine 7,NWCC,71,69,2
Dozer 1,NWCC,0,0,0
Dozer 2,NWCC,21,21,0
Dozer 3,NWCC,25,0,25
Dozer 4,NWCC,6,6,0
Module 1,NWCC,15,15,0
Module 2,NWCC,263,63,200
Water 1,NWCC,0,0,0
Water 2,NWCC,22,6,16
Crew 1,ONCC,1863,501,1362
Crew 2IA,ONCC,1033,330,703
Crew 2,ONCC,387,183,204
Engine 3,ONCC,5566,1185,4381
Engine 4,ONCC,350,72,278
Engine 5,ONCC,0,0,0
Engine 6,ONCC,1217,96,1121
Engine 7,ONCC,55,36,19
Dozer 1,ONCC,0,0,0
Dozer 2,ONCC,718,48,670
Dozer 3,ONCC,68,54,14
Dozer 4,ONCC,54,54,0
Module 1,ONCC,112,39,73
Module 2,ONCC,401,39,362
Water 1,ONCC,10,3,7
Water 2,ONCC,639,72,567
Crew 1,OSCC,630,36,594
Crew 2IA,OSCC,793,6,787
Crew 2,OSCC,397,3,394
Engine 3,OSCC,2807,33,2774
Engine 4,OSCC,15,0,15
Engine 5,OSCC,0,0,0
Engine 6,OSCC,181,3,178
Engine 7,OSCC,43,0,43
Dozer 1,OSCC,9,9,0
Dozer 2,OSCC,417,3,414
Dozer 3,OSCC,0,0,0
Dozer 4,OSCC,0,0,0
Module 1,OSCC,0,0,0
Module 2,OSCC,228,0,228
Water 1,OSCC,3,3,0
Water 2,OSCC,480,12,468
Crew 1,NRCC,624,327,297
Crew 2IA,NRCC,780,309,471
Crew 2,NRCC,124,111,13
Engine 3,NRCC,127,45,82
Engine 4,NRCC,201,15,186
Engine 5,NRCC,0,0,0
Engine 6,NRCC,1551,81,1470
Engine 7,NRCC,21,3,18
Dozer 1,NRCC,0,0,0
Dozer 2,NRCC,12,0,12
Dozer 3,NRCC,0,0,0
Dozer 4,NRCC,0,0,0
Module 1,NRCC,92,39,53
Module 2,NRCC,193,39,154
Water 1,NRCC,0,0,0
Water 2,NRCC,16,9,7
Crew 1,GBCC,435,75,360
Crew 2IA,GBCC,323,24,299
Crew 2,GBCC,27,18,9
Engine 3,GBCC,152,0,152
Engine 4,GBCC,375,0,375
Engine 5,GBCC,0,0,0
Engine 6,GBCC,412,12,400
Engine 7,GBCC,9,0,9
Dozer 1,GBCC,0,0,0
Dozer 2,GBCC,0,0,0
Dozer 3,GBCC,0,0,0
Dozer 4,GBCC,0,0,0
Module 1,GBCC,150,33,117
Module 2,GBCC,172,12,160
Water 1,GBCC,0,0,0
Water 2,GBCC,0,0,0
Crew 1,SWCC,890,42,848
Crew 2IA,SWCC,87,9,78
Crew 2,SWCC,18,18,0
Engine 3,SWCC,464,21,443
Engine 4,SWCC,120,0,120
Engine 5,SWCC,0,0,0
Engine 6,SWCC,942,6,936
Engine 7,SWCC,0,0,0
Dozer 1,SWCC,0,0,0
Dozer 2,SWCC,48,0,48
Dozer 3,SWCC,11,0,11
Dozer 4,SWCC,0,0,0
Module 1,SWCC,49,12,37
Module 2,SWCC,104,6,98
Water 1,SWCC,11,0,11
Water 2,SWCC,37,3,34
Crew 1,RMCC,220,36,184
Crew 2IA,RMCC,114,18,96
Crew 2,RMCC,26,15,11
Engine 3,RMCC,51,0,51
Engine 4,RMCC,27,0,27
Engine 5,RMCC,0,0,0
Engine 6,RMCC,645,6,639
Engine 7,RMCC,60,0,60
Dozer 1,RMCC,3,3,0
Dozer 2,RMCC,12,0,12
Dozer 3,RMCC,45,0,45
Dozer 4,RMCC,0,0,0
Module 1,RMCC,60,12,48
Module 2,RMCC,110,9,101
Water 1,RMCC,0,0,0
Water 2,RMCC,0,0,0
Crew 1,EACC,33,6,27
Crew 2IA,EACC,76,6,70
Crew 2,EACC,0,0,0
Engine 3,EACC,0,0,0
Engine 4,EACC,6,0,6
Engine 5,EACC,0,0,0
Engine 6,EACC,223,3,220
Engine 7,EACC,0,0,0
Dozer 1,EACC,0,0,0
Dozer 2,EACC,0,0,0
Dozer 3,EACC,24,0,24
Dozer 4,EACC,0,0,0
Module 1,EACC,53,6,47
Module 2,EACC,6,0,6
Water 1,EACC,3,0,3
Water 2,EACC,0,0,0
Crew 1,SACC,0,0,0
Crew 2IA,SACC,0,0,0
Crew 2,SACC,0,0,0
Engine 3,SACC,21,0,21
Engine 4,SACC,0,0,0
Engine 5,SACC,0,0,0
Engine 6,SACC,291,0,291
Engine 7,SACC,0,0,0
Dozer 1,SACC,0,0,0
Dozer 2,SACC,0,0,0
Dozer 3,SACC,0,0,0
Dozer 4,SACC,0,0,0
Module 1,SACC,0,0,0
Module 2,SACC,14,0,14
Water 1,SACC,0,0,0
Water 2,SACC,0,0,0
